Date,Open,High,Low,Close,Adj Close,Volume,log RO,log RH,log RL,log RC
12/12/1980,0.513393,0.515625,0.513393,0.513393,0.023186,117258400,0,0,0,0
12/15/1980,0.488839,0.488839,0.486607,0.486607,0.021977,43971200,-0.049008442,-0.053346565,-0.053584818,-0.053584818
12/16/1980,0.453125,0.453125,0.450893,0.450893,0.020364,26432000,-0.075865166,-0.075865166,-0.076226755,-0.076226755
12/17/1980,0.462054,0.464286,0.462054,0.462054,0.020868,21610400,0.019513742,0.024332716,0.024451707,0.024451707
12/18/1980,0.475446,0.477679,0.475446,0.475446,0.021473,18362400,0.028571543,0.028438217,0.028571543,0.028571543
12/19/1980,0.504464,0.506696,0.504464,0.504464,0.022783,12157600,0.059243169,0.058972259,0.059243169,0.059243169
12/22/1980,0.529018,0.53125,0.529018,0.529018,0.023892,9340800,0.047525978,0.047321502,0.047525978,0.047525978
12/23/1980,0.551339,0.553571,0.551339,0.551339,0.0249,11737600,0.041327407,0.041157298,0.041327407,0.041327407
12/24/1980,0.580357,0.582589,0.580357,0.580357,0.026211,12000800,0.051293566,0.051091945,0.051293566,0.051293566
12/26/1980,0.633929,0.636161,0.633929,0.633929,0.02863,13893600,0.088293529,0.087969712,0.088293529,0.088293529
12/29/1980,0.642857,0.645089,0.642857,0.642857,0.029033,23290400,0.013985344,0.013936616,0.013985344,0.013985344
12/30/1980,0.629464,0.629464,0.627232,0.627232,0.028328,17220000,-0.021053641,-0.024519628,-0.024605816,-0.024605816
12/31/1980,0.611607,0.611607,0.609375,0.609375,0.027521,8937600,-0.028778744,-0.028778744,-0.028882646,-0.028882646
1/2/1981,0.616071,0.620536,0.616071,0.616071,0.027824,5415200,0.007272297,0.014493701,0.010928375,0.010928375
1/5/1981,0.604911,0.604911,0.602679,0.602679,0.027219,8932000,-0.018280877,-0.025502281,-0.0219775,-0.0219775
1/6/1981,0.578125,0.578125,0.575893,0.575893,0.026009,11289600,-0.045291232,-0.045291232,-0.045462837,-0.045462837
1/7/1981,0.553571,0.553571,0.551339,0.551339,0.0249,13921600,-0.04340009,-0.04340009,-0.043572015,-0.043572015
1/8/1981,0.542411,0.542411,0.540179,0.540179,0.024396,9956800,-0.020366002,-0.020366002,-0.020449299,-0.020449299
1/9/1981,0.569196,0.571429,0.569196,0.569196,0.025707,5376000,0.048200822,0.052116224,0.052324273,0.052324273
1/12/1981,0.569196,0.569196,0.564732,0.564732,0.025505,5924800,0,-0.003915402,-0.007873556,-0.007873556
1/13/1981,0.546875,0.546875,0.544643,0.544643,0.024598,5762400,-0.040004582,-0.040004582,-0.036220748,-0.036220748
1/14/1981,0.546875,0.549107,0.546875,0.546875,0.024699,3572800,0,0.004073065,0.004089723,0.004089723
1/15/1981,0.558036,0.5625,0.558036,0.558036,0.025203,3516800,0.020203219,0.024097812,0.020203219,0.020203219
1/16/1981,0.555804,0.555804,0.553571,0.553571,0.025001,3348800,-0.004007762,-0.01197542,-0.008033458,-0.008033458
